Mach_bin,CL_bin,Frequency
0.6323469387755102,0.52,1.0
0.6323469387755102,0.5228571428571428,1.0
0.6323469387755102,0.5257142857142857,0.0
0.6323469387755102,0.5285714285714286,1.0
0.6323469387755102,0.5314285714285714,1.0
0.6323469387755102,0.5342857142857143,1.0
0.6323469387755102,0.5371428571428571,0.0
0.6323469387755102,0.5399999999999999,0.0
0.6323469387755102,0.5428571428571428,0.0
0.6323469387755102,0.5457142857142857,0.0
0.6323469387755102,0.5485714285714285,0.0
0.6323469387755102,0.5514285714285714,2.0
0.6323469387755102,0.5542857142857143,0.0
0.6323469387755102,0.5571428571428572,1.0
0.6323469387755102,0.5599999999999999,0.0
0.6323469387755102,0.5628571428571428,1.0
0.6323469387755102,0.5657142857142856,2.0
0.6323469387755102,0.5685714285714285,1.0
0.6323469387755102,0.5714285714285714,3.0
0.6323469387755102,0.5742857142857143,2.0
0.6323469387755102,0.5771428571428571,0.0
0.6385714285714286,0.44,0.0
0.6385714285714286,0.44285714285714284,1.0
0.6385714285714286,0.44571428571428573,3.0
0.6385714285714286,0.44857142857142857,0.0
0.6385714285714286,0.4514285714285714,3.0
0.6385714285714286,0.4542857142857143,0.0
0.6385714285714286,0.45714285714285713,4.0
0.6385714285714286,0.46,3.0
0.6385714285714286,0.46285714285714286,1.0
0.6385714285714286,0.4657142857142857,4.0
0.6385714285714286,0.4685714285714286,1.0
0.6385714285714286,0.4714285714285714,3.0
0.6385714285714286,0.47428571428571425,2.0
0.6385714285714286,0.47714285714285715,6.0
0.6385714285714286,0.48,5.0
0.6385714285714286,0.4828571428571429,8.0
0.6385714285714286,0.4857142857142857,7.0
0.6385714285714286,0.48857142857142855,1.0
0.6385714285714286,0.49142857142857144,4.0
0.6385714285714286,0.4942857142857143,6.0
0.6385714285714286,0.4971428571428571,12.0
0.6385714285714286,0.5,4.0
0.6385714285714286,0.5028571428571429,7.0
0.6385714285714286,0.5057142857142857,4.0
0.6385714285714286,0.5085714285714286,16.0
0.6385714285714286,0.5114285714285715,22.0
0.6385714285714286,0.5142857142857142,21.0
0.6385714285714286,0.5171428571428571,23.0
0.6385714285714286,0.52,30.0
0.6385714285714286,0.5228571428571428,37.0
0.6385714285714286,0.5257142857142857,41.0
0.6385714285714286,0.5285714285714286,31.0
0.6385714285714286,0.5314285714285714,32.0
0.6385714285714286,0.5342857142857143,34.0
0.6385714285714286,0.5371428571428571,25.0
0.6385714285714286,0.5399999999999999,8.0
0.6385714285714286,0.5428571428571428,7.0
0.6385714285714286,0.5457142857142857,0.0
0.6385714285714286,0.5485714285714285,0.0
0.6385714285714286,0.5514285714285714,0.0
0.6385714285714286,0.5542857142857143,0.0
0.6385714285714286,0.5571428571428572,0.0
0.6385714285714286,0.5599999999999999,0.0
0.6385714285714286,0.5628571428571428,0.0
0.6385714285714286,0.5657142857142856,0.0
0.6385714285714286,0.5685714285714285,0.0
0.6385714285714286,0.5714285714285714,0.0
0.6385714285714286,0.5742857142857143,0.0
0.6385714285714286,0.5771428571428571,0.0
0.644795918367347,0.44,0.0
0.644795918367347,0.44285714285714284,0.0
0.644795918367347,0.44571428571428573,0.0
0.644795918367347,0.44857142857142857,1.0
0.644795918367347,0.4514285714285714,1.0
0.644795918367347,0.4542857142857143,0.0
0.644795918367347,0.45714285714285713,2.0
0.644795918367347,0.46,1.0
0.644795918367347,0.46285714285714286,2.0
0.644795918367347,0.4657142857142857,1.0
0.644795918367347,0.4685714285714286,1.0
0.644795918367347,0.4714285714285714,2.0
0.644795918367347,0.47428571428571425,0.0
0.644795918367347,0.47714285714285715,0.0
0.644795918367347,0.48,3.0
0.644795918367347,0.4828571428571429,2.0
0.644795918367347,0.4857142857142857,3.0
0.644795918367347,0.48857142857142855,6.0
0.644795918367347,0.49142857142857144,4.0
0.644795918367347,0.4942857142857143,8.0
0.644795918367347,0.4971428571428571,6.0
0.644795918367347,0.5,4.0
0.644795918367347,0.5028571428571429,10.0
0.644795918367347,0.5057142857142857,11.0
0.644795918367347,0.5085714285714286,13.0
0.644795918367347,0.5114285714285715,16.0
0.644795918367347,0.5142857142857142,26.0
0.644795918367347,0.5171428571428571,18.0
0.644795918367347,0.52,17.0
0.644795918367347,0.5228571428571428,3.0
0.644795918367347,0.5257142857142857,1.0
0.644795918367347,0.5285714285714286,0.0
0.644795918367347,0.5314285714285714,0.0
0.644795918367347,0.5342857142857143,1.0
0.644795918367347,0.5371428571428571,0.0
0.644795918367347,0.5399999999999999,2.0
0.644795918367347,0.5428571428571428,0.0
0.644795918367347,0.5457142857142857,0.0
0.644795918367347,0.5485714285714285,0.0
0.644795918367347,0.5514285714285714,0.0
0.644795918367347,0.5542857142857143,0.0
0.644795918367347,0.5571428571428572,4.0
